Abreviatura,Palabra completa,Ejemplo,Ubicación
&a,etcétera,,
A L P de V Exa,a los pies de vuestra excelencia,Picture,
acapco,Acapulco,,AGN_Marina_v002_005
adminon,administración,,AGN_Indios_v021_exp095
agn,Agustín,,AGN_Indios_v021_exp095
agto,agosto,,AGN_Marina_v002_073
ala,alteza,,Amoxcalli_113_04
alfz,alferez,,AGN_Marina_v002_364
allde,alcalde,,
almoxo,almoxarifazgo,,
antdo,anotado,,
antecedte,antecedente,,AGN_Marina_v002_355
anteriormte,anteriormente,,AGN_Marina_v002_231
Anto,Antonio,,AGN_Marina_v002_073
aos,años,,AGN_Indios_v002_exp861
apersevimto,apercebimiento,,AGN_Indios_v019_exp049
arto,articulo,,AGN_Marina_v002_232
arzbpo,arzobispo,,AGN_Marina_v002_071
as,años,,AGN_Marina_v002_231
asistena,asistencia,,AGN_Indios_v021_exp095
asyto,asiento,,AGN_Marina_v002_021
auda,audiencia,,AGN_Marina_v002_368
audia,audiencia,,AGN_Indios_v002_exp928
aussa,ausencia,,
avas,averías,,
baupta,Bautista,,AGN_Indios_v021_exp095
benefo,beneficio,,AGN_Indios_v002_exp928
berno,Bernardino,,
brs,varas,,
capn,capitán,,
cappn,capitán,,AGN_Indios_v019_exp049
cinqta,cincuenta,,AGN_Indios_v019_exp049
collon,"colación (barrio, distrito)",,
conformd,conformidad,,AGN_Indios_v019_exp049
congregon,congregación,,AGN_Indios_v002_exp928
conta,contaduria,,AGN_Marina_v002_230
contadria,contaduria,,AGN_Marina_v002_229
contdos,contenidos,,AGN_Indios_v002_exp928
coRa,corresponda,,BnF_112_34
dero,derecho,,AGN_Tierras_v2678_exp031_19
dgo,Diego,,AGN_Indios_v021_exp095
dho / dhos,dicho / dichos,,
diligas,diligencias,,
dizre,diciembre,,AGN_Marina_v002_232
dn,don,,AGN_Marina_v002_230
doe,docena,,
dor,doctor,,AGN_Indios_v021_exp095
dra,derecha,,AGN_Marina_v002_015
dramte,directamente,,
dro,derecho,,AGN_RealesCedDup_v019_exp445-446
dro,directo,,
duos,ducados,,
enmdo,enmendado,,AGN_Indios_v002_exp928
escrivo,escribano,,AGN_RealesCedDup_v019_exp445-446
escrivte,escribiente,,AGN_Marina_v002_232
escro,escribano,,AGN_Marina_v002_009
escta,escritura,,
escvano,escribano,,
espa,escriptura (escritura),,AGN_Marina_v002_009
espa,España,,AGN_Indios_v019_exp049
etc,etcétera,,AGN_Indios_v002_exp835
etca,etcétera,,AGN_Indios_v002_exp861
etta,etcétera,,AGN_Indios_v019_exp049
etttsa,etcétera,,AGN_Indios_v005_exp529
evoi,evangelio,,
exa,ejecutiva,,
exa,excelencia,,AGN_Indios_v002_exp835
exmo,excelentísimo,,AGN_Marina_v002_221
exssmo,excelentísimo,,AGN_Tierras_v2678_exp031_19
expte,expediente,,AGN_Marina_v002_071
f,foja,,AGN_Marina_v002_229
fd,fardo,,
ff,fiscal,,BnF_112_34
ffa,fecha,,
ffo,fecho,,AGN_Indios_v002_exp835
ffrdo,fardo,,
fha,fecha,,
fielmte,fielmente,,AGN_Indios_v005_exp529
Franco,Francisco,,AGN_Indios_v002_exp861
Frano,Francisco,,AGN_Tierras_v2678_exp031_19
Frco,Francisco,,AGN_Indios_v002_exp861
fro,febrero,,AGN_Marina_v002_011
fua,fuera,,
gal,general,,AGN_Indios_v019_exp049
gl,general,,AGN_Indios_v019_exp049
gondr,gobernador,,AGN_Indios_v021_exp095
gor,gobernador,,AGN_Indios_v002_exp835
gos,granos (de oro/moneda),,
goviero,gobierno,,AGN_Indios_v019_exp049
govno,gobierno,,AGN_Marina_v002_230
govor,gobernador,,AGN_Indios_v002_exp835
gte,gente,,AGN_Indios_v019_exp049
gue,guarde,,AGN_Marina_v002_231
guzn,Guzmán,,AGN_Indios_v019_exp049
hazda,hacienda,,AGN_Marina_v002_005
henro,henero (enero),,AGN_Marina_v002_020
hero,hermano,,AGN_Tierras_v2678_exp031_08
herndo,Hernando,,AGN_Tierras_v2678_exp031_08
hordina,ordinaria,,AGN_Marina_v002_011
Ildo,licenciado,,AGN_Indios_v002_exp928
illmo,ilustrisimo,,AGN_Indios_v002_exp928
into,interino,,AGN_Marina_v002_355
Jhs,Jesús,,AGN_Tierras_v2678_exp031_03
Juo,Joan (Juan),,AGN_Marina_v002_005
juro,juramento,,
juron,jurisdicción,,AGN_Indios_v021_exp095
justa,justicia,,AGN_Indios_v002_exp861
L.,libro,,AGN_Marina_v002_229
las,libras (medida),,
ldo,licenciado,,BnF_112_34
lia,licencia,,AGN_Indios_v002_exp861
lica,licencia,,AGN_Indios_v002_exp861
licdo,licenciado,,AGN_Tierras_v2678_exp031_05
liza.,licencia,,
Lo,Lorenzo,,AGN_Indios_v002_exp835
Loro,Lorenzo,,AGN_Marina_v002_015
magcos,magníficos,,
magd,majestad,,
mana,manera,,AGN_Indios_v021_exp095
mas,más,,
mdar,mandar,,AGN_Indios_v021_exp095
md,merced,,AGN_Tierras_v2678_exp031_19
mdo,mandado,,
mdo,mando,,AGN_Indios_v002_exp861
me / mre,maestre,,
mem,memorial,,AGN_Indios_v019_exp049
meos,menos,,
mexco,México,,AGN_Indios_v002_exp861
Mgd,Majestad,,
Miguel,Migl,,AGN_Marina_v002_075
min,Martín,,
minez,Martínez,,
minro,ministro,,AGN_Indios_v021_exp095
mis,maravedís,,
mll,mil,,
mor,mayor,,AGN_Tierras_v2678_exp031_08
mras,mercaderías,,
mrd,merced,,AGN_Indios_v002_exp861
mro,marinero,,AGN_Marina_v002_005
ms,muchos,,AGN_Marina_v002_231
mster,menester,,
mto,mandamiento,,
muger,mujer,,
myn,Martín,,AGN_Indios_v002_exp835
N.,nuevo,,
na,nueva,,AGN_Indios_v002_exp928
nal,natural,,
nales,naturales,,BnF_075_09
natus,naturales,,AGN_Indios_v019_exp049
ndo,nombrado,,BnF_113_36
ne,nombre,,AGN_Tierras_v2678_exp031_03
nesso,necesario,,AGN_Indios_v002_exp928
ninga,ninguna,,AGN_Indios_v002_exp928
No.,número,,AGN_Marina_v002_229
notro,notorio,,BnF_112_28
novta,noventa,,AGN_Marina_v002_015
nra,nuestra,,
nras,nuestras,,
nro,nuestro,,
nua,nueva,,AGN_Indios_v019_exp049
nuas,nuevas,,AGN_Indios_v019_exp049
nyngas,ningunas,,
obligon,obligación,,
obligos,obligamos,,
obpo,obispo,,
offes,oficiales,,
offo,oficio,,AGN_Tierras_v2678_exp031_03
offs,oficiales,,AGN_Indios_v021_exp095
oficl,oficial,,AGN_Marina_v002_231
orn,orden,,AGN_Marina_v002_372
otue,octubre,,BnF_113_48
